Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit
ORD054,2024-03-21,C117,Customer 1 ,consumer,South,,Apparel,Apparel Product,10,60231,0.1,8491
ORD445,2024-04-05,C019,Customer 2 ,Corporate,West ,Fashion,Accessories,Accessories Product,7,92878,0.1,12070
ORD216,2024-01-03,C008,Customer 3 ,Corporate,west,Electronics,Accessories,Accessories Product,10,30128,0.05,21820
ORD147,2024-03-19,C204,Customer 4 ,Corporate,east,Fashion,Apparel,Apparel Product,10,72873,0.1,6733
ORD055,27-03-2024,C165,Customer 5 ,consumer,EAST,,Mobile,Mobile Product,4,31399,0.05,16177
ORD362,2024-01-17,C168,Customer 6 ,Consumer,west,,Apparel,Apparel Product,5,126741,0.15,18212
ORD312,2024-02-28,C258,  Rahul Sharma ,Consumer,west,,Chair,Chair Product,6,13393,0.05,15370
ORD027,2024-03-18,C269,Customer 8 ,Corporate,east,,Mobile,Mobile Product,9,129726,0.0,-6303
ORD021,2024-02-20,C248,Customer 9 ,Home Office,east,Electronics,Laptop,Laptop Product,2,55207,0.05,4877
ORD177,18-02-2024,C141,Customer 10 ,Corporate,West ,Furniture,Chair,Chair Product,2,N/A,0.05,11737
ORD069,2024-02-23,C180,Customer 11 ,Home office,east,Electronics,Mobile,Mobile Product,2,145880,0.0,2991
ORD309,2024-01-10,C008,Customer 12 ,consumer,east,,Chair,Chair Product,3,136771,0.1,3941
ORD064,2024-02-13,C221,Customer 13 ,Home office,EAST,Furniture,Storage,Storage Product,10,20519,0.15,13021
ORD111,2024-03-13,C212,  Rahul Sharma ,Home Office,west,,Chair,Chair Product,9,8519,0.15,6074
ORD304,20-04-2024,C168,Customer 15 ,Consumer,South,Furniture,Storage,Storage Product,2,65674,0.05,9184
ORD120,2024-02-02,C010,Customer 16 ,Consumer,West ,,Apparel,Apparel Product,2,147367,0.0,-2256
ORD392,2024-04-05,C046,Customer 17 ,Corporate,EAST,Furniture,Chair,Chair Product,6,53749,0.05,11995
ORD233,2024-04-15,C092,Customer 18 ,Consumer,EAST,Electronics,Laptop,Laptop Product,7,89158,0.1,20871
ORD323,2024-02-24,C118,Customer 19 ,Home Office,South,Fashion,Accessories,Accessories Product,2,129901,0.15,24084
ORD258,03-04-2024,C236,Customer 20 ,Home office,EAST,Electronics,Mobile,Mobile Product,6,N/A,0.0,19133
ORD334,2024-02-08,C129,  Rahul Sharma ,consumer,South,,Apparel,Apparel Product,4,133401,0.05,24312
ORD350,2024-01-12,C198,Customer 22 ,Consumer,EAST,Electronics,Mobile,Mobile Product,3,94935,0.15,10650
ORD295,2024-02-06,C057,Customer 23 ,Home Office,west,Electronics,Laptop,Laptop Product,1,82543,0.15,1454
ORD083,2024-02-20,C054,Customer 24 ,Consumer,EAST,,Apparel,Apparel Product,9,52932,0.05,-4448
ORD433,19-04-2024,C257,Customer 25 ,consumer,West ,Fashion,Footwear,Footwear Product,4,140950,0.0,23769
ORD438,2024-03-31,C135,Customer 26 ,Consumer,West ,Fashion,Footwear,Footwear Product,2,128980,0.0,2256
ORD497,2024-04-02,C061,Customer 27 ,consumer,South,,Chair,Chair Product,2,13813,0.05,2291
ORD327,2024-03-21,C104,  Rahul Sharma ,Home office,West ,,Apparel,Apparel Product,6,81525,0.0,21307
ORD209,2024-01-19,C101,Customer 29 ,Corporate,West ,Fashion,Apparel,Apparel Product,3,7157,0.15,23335
ORD454,20-01-2024,C040,Customer 30 ,Home Office,east,Furniture,Chair,Chair Product,3,N/A,0.1,19208
ORD049,2024-03-03,C126,Customer 31 ,Home office,west,,Apparel,Apparel Product,5,149382,0.0,17310
ORD225,2024-04-27,C088,Customer 32 ,Home office,east,,Mobile,Mobile Product,4,88165,0.05,-2431
ORD165,2024-03-08,C251,Customer 33 ,Home Office,east,Furniture,Table,Table Product,10,129570,0.0,5786
ORD280,2024-02-02,C204,Customer 34 ,Consumer,east,Furniture,Chair,Chair Product,10,120029,0.15,15113
ORD293,27-01-2024,C273,  Rahul Sharma ,Home Office,west,Furniture,Storage,Storage Product,1,36893,0.05,2659
ORD083,2024-03-06,C056,Customer 36 ,Corporate,West ,Furniture,Table,Table Product,9,73131,0.1,7242
ORD194,2024-02-06,C085,Customer 37 ,consumer,West ,Fashion,Apparel,Apparel Product,5,29961,0.05,19778
ORD183,2024-04-11,C182,Customer 38 ,Home office,west,Fashion,Apparel,Apparel Product,5,16306,0.05,11722
ORD193,2024-03-03,C172,Customer 39 ,Consumer,West ,,Chair,Chair Product,5,53330,0.1,805
ORD357,30-03-2024,C237,Customer 40 ,consumer,EAST,,Chair,Chair Product,3,N/A,0.05,-6606
ORD179,2024-02-23,C081,Customer 41 ,Consumer,South,Electronics,Laptop,Laptop Product,1,82278,0.15,15872
ORD055,2024-02-23,C072,  Rahul Sharma ,consumer,South,,Apparel,Apparel Product,2,8055,0.0,20121
ORD272,2024-04-27,C233,Customer 43 ,Corporate,west,Fashion,Apparel,Apparel Product,7,80105,0.15,6978
ORD305,2024-01-04,C134,Customer 44 ,Home Office,South,Fashion,Footwear,Footwear Product,7,114282,0.0,18060
ORD251,14-01-2024,C005,Customer 45 ,Corporate,west,,Mobile,Mobile Product,6,10578,0.05,3257
